city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Madrid,Sol,Centro,40.41476,-3.70418,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,157.0,78.5,True,5,50,342,173,4.63,4.9,0.93,False,True,17,2010-05-24,2010-07-06,2025-08-27
Madrid,Universidad,Centro,40.42247,-3.70577,Entire home/apt,Entire rental unit,2,1.0,1.0,3.0,143.0,71.5,True,5,50,341,53,4.68,4.88,0.29,False,True,17,2010-05-24,2010-11-01,2025-09-11
Madrid,Justicia,Centro,40.41884,-3.69655,Private room,Private room in rental unit,4,1.5,1.0,2.0,65.0,16.25,True,1,30,299,249,4.65,4.97,2.78,False,False,3,2010-11-29,2018-05-10,2025-09-05
Madrid,Universidad,Centro,40.42252,-3.7025,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,116.0,58.0,True,30,360,305,36,4.23,4.6,0.21,False,False,4,2011-01-19,2011-10-03,2025-04-27
Madrid,Universidad,Centro,40.42252,-3.7025,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,79.0,39.5,True,30,360,317,31,4.37,4.87,0.18,False,False,4,2011-01-19,2011-05-03,2025-05-02
Madrid,Embajadores,Centro,40.4115,-3.70449,Entire home/apt,Entire rental unit,6,1.0,3.0,5.0,300.0,50.0,False,3,180,180,133,4.63,4.84,0.75,False,False,4,2011-01-27,2011-02-13,2025-06-08
Madrid,Embajadores,Centro,40.40939,-3.69812,Entire home/apt,Entire rental unit,6,1.0,3.0,3.0,166.0,27.67,False,3,365,150,233,4.83,4.92,1.34,False,False,4,2011-01-27,2011-06-20,2025-07-11
Madrid,Palacio,Centro,40.41143,-3.70912,Private room,Private room in rental unit,2,1.0,1.0,2.0,45.0,22.5,False,1,365,116,402,4.8,4.95,2.35,True,False,1,2011-05-19,2011-08-21,2025-08-24
Madrid,Los Angeles,Villaverde,40.35761,-3.69723,Private room,Private room in rental unit,1,1.0,1.0,1.0,24.0,24.0,False,1,1125,0,97,4.94,4.74,0.56,False,False,1,2011-06-05,2011-07-07,2022-10-30
Madrid,Piovera,Hortaleza,40.45575,-3.64912,Private room,Private room in chalet,2,1.0,1.0,2.0,90.0,45.0,True,1,1125,336,52,4.82,4.84,0.32,True,False,2,2011-07-09,2012-07-11,2025-06-21
Madrid,Universidad,Centro,40.4257,-3.70383,Private room,Private room in rental unit,2,1.0,1.0,1.0,60.0,30.0,True,2,365,257,72,4.76,4.96,0.58,True,False,1,2011-08-14,2015-06-21,2025-09-01
Madrid,Embajadores,Centro,40.41319,-3.7024,Private room,Private room in rental unit,2,1.0,1.0,1.0,120.0,60.0,False,3,30,34,223,4.87,4.99,1.31,True,False,1,2011-06-27,2011-09-08,2025-07-07
Madrid,Cortes,Centro,40.4152,-3.69668,Entire home/apt,Entire rental unit,5,2.0,2.0,2.0,160.0,32.0,False,5,365,43,107,4.84,4.97,0.63,False,False,1,2011-08-22,2011-09-26,2025-07-08
Madrid,Universidad,Centro,40.42116,-3.70384,Entire home/apt,Entire condo,2,1.0,0.0,1.0,98.0,49.0,True,15,365,319,374,4.94,4.94,2.19,False,False,2,2011-08-23,2011-09-12,2025-08-25
Madrid,Canillas,Hortaleza,40.45959,-3.64699,Private room,Private room in rental unit,2,1.0,1.0,1.0,68.0,34.0,True,2,365,308,234,4.95,4.81,1.39,True,False,1,2011-08-31,2011-11-01,2025-09-08
Madrid,Embajadores,Centro,40.4131,-3.70086,Entire home/apt,Entire rental unit,4,2.0,2.0,5.0,117.0,29.25,False,5,18,42,79,4.57,4.95,0.47,False,False,2,2011-09-12,2012-01-03,2025-08-31
Madrid,Embajadores,Centro,40.4078,-3.70085,Entire home/apt,Entire rental unit,3,0.5,1.0,2.0,58.0,19.33,True,10,1125,291,563,4.29,4.48,3.32,False,True,2,2011-09-08,2011-10-10,2025-07-23
Madrid,Embajadores,Centro,40.41175,-3.70021,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,70.0,17.5,True,2,18,285,97,4.56,4.88,0.6,False,False,2,2011-09-12,2012-06-20,2025-07-07
Madrid,Sol,Centro,40.41428,-3.70767,Entire home/apt,Entire rental unit,10,1.0,3.0,8.0,138.0,13.8,False,3,300,140,224,4.64,4.97,1.36,False,False,7,2012-02-10,2012-03-20,2025-08-31
Madrid,Chopera,Arganzuela,40.39627,-3.69926,Entire home/apt,Entire condo,2,1.0,1.0,1.0,100.0,50.0,False,4,30,125,88,4.89,4.83,0.58,True,False,1,2011-11-01,2013-04-11,2025-09-13
Madrid,Valdefuentes,Hortaleza,40.47189,-3.62966,Entire home/apt,Entire loft,4,1.5,4.0,4.0,288.0,72.0,False,3,60,103,150,4.71,4.25,0.92,True,False,2,2011-10-30,2012-04-27,2025-06-01
Madrid,Universidad,Centro,40.42377853393555,-3.702780961990357,Entire home/apt,Entire loft,2,1.0,1.0,1.0,144.0,72.0,True,2,20,208,682,4.92,4.97,4.05,True,False,1,2011-11-05,2011-11-18,2025-07-13
Madrid,Valdefuentes,Hortaleza,40.47142,-3.62881,Entire home/apt,Entire loft,4,1.0,2.0,3.0,114.0,28.5,False,2,120,128,163,4.75,4.32,1.02,True,True,2,2011-10-30,2012-07-30,2025-06-22
Madrid,Palacio,Centro,40.41685,-3.70882,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,148.0,37.0,True,2,60,328,138,4.52,4.96,1.26,False,False,1,2011-12-02,2016-09-18,2025-06-01
Madrid,Sol,Centro,40.41849,-3.70743,Private room,Private room in rental unit,4,1.0,1.0,2.0,139.0,34.75,True,4,360,301,191,4.53,4.84,1.3,False,False,21,2011-08-01,2013-09-06,2024-11-07
Madrid,Embajadores,Centro,40.40908377002321,-3.6951428069820658,Entire home/apt,Entire rental unit,2,1.0,2.0,4.0,64.0,32.0,True,186,350,345,181,4.69,4.87,1.14,False,False,1,2012-01-11,2012-09-09,2025-01-02
