city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Sevilla,San Lorenzo,Casco Antiguo,37.39898,-5.99533,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,93.0,31.0,True,3,1125,206,40,4.64,4.92,0.23,False,True,1,2010-09-05,2011-02-27,2025-09-21
Sevilla,San Vicente,Casco Antiguo,37.39685821533203,-5.99912691116333,Entire home/apt,Entire rental unit,5,1.0,2.0,3.0,120.0,24.0,False,2,1125,79,222,4.77,4.86,1.27,True,False,4,2011-05-05,2011-05-17,2025-09-23
Sevilla,San Vicente,Casco Antiguo,37.39592361450195,-5.999317169189453,Entire home/apt,Entire condo,4,1.0,1.0,2.0,89.0,22.25,False,2,1125,106,63,4.7,4.82,0.36,True,False,4,2011-05-05,2011-05-27,2025-08-02
Sevilla,Santa Cruz,Casco Antiguo,37.38731,-5.99095,Entire home/apt,Entire rental unit,5,1.0,3.0,4.0,146.0,29.2,True,3,1125,245,205,4.55,4.93,1.23,False,True,24,2011-07-24,2012-01-12,2025-04-22
Sevilla,Museo,Casco Antiguo,37.38945,-5.99889,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,85.0,42.5,False,3,30,111,508,4.87,4.94,3.78,True,False,1,2011-08-26,2014-09-19,2025-09-24
Sevilla,Museo,Casco Antiguo,37.39299,-5.99916,Private room,Private room in rental unit,1,1.5,1.0,1.0,54.0,54.0,False,1,7,62,238,4.94,4.91,1.41,True,False,2,2011-09-21,2011-11-27,2025-09-28
Sevilla,Alfalfa,Casco Antiguo,37.39107,-5.99261,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,80.0,40.0,False,3,365,148,331,4.78,4.93,1.96,True,False,2,2011-10-24,2011-11-29,2025-09-16
Sevilla,San Bernardo,Nervión,37.38111,-5.98616,Entire home/apt,Entire loft,6,1.0,2.0,4.0,105.0,17.5,False,2,365,32,459,4.61,4.88,2.76,False,True,5,2011-11-10,2012-02-06,2025-09-14
Sevilla,"Encarnación, Regina",Casco Antiguo,37.39362,-5.99065,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,127.0,63.5,False,2,1125,120,611,4.87,4.96,3.71,True,True,205,2014-05-01,2012-03-23,2025-09-18
Sevilla,Museo,Casco Antiguo,37.39279,-6.00078,Private room,Private room in tiny home,1,1.0,1.0,1.0,49.0,49.0,False,3,30,60,519,4.75,4.84,3.14,True,False,2,2011-09-21,2012-02-28,2025-09-19
Sevilla,an Roque,Nervión,37.39236,-5.98361,Entire home/apt,Entire rental unit,4,1.0,2.0,3.0,103.0,25.75,False,1,6,68,474,4.75,4.64,2.88,False,False,1,2012-01-23,2012-03-30,2025-05-27
Sevilla,Alfalfa,Casco Antiguo,37.39022,-5.99126,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,104.0,52.0,True,3,250,227,686,4.84,4.98,4.19,True,True,1,2011-07-27,2012-04-16,2025-09-25
