city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,property_type,accommodates,bathrooms,bedrooms,beds,price,price_per_person,high_availability,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month,host_is_superhost,instant_bookable,calculated_host_listings_count,host_since,first_review,last_review
Valencia,MORVEDRE,LA SAIDIA,39.48375,-0.37502,Entire home/apt,Entire rental unit,4,1.0,2.0,2.0,83.0,20.75,False,3,25,150,197,4.61,4.52,1.08,False,False,4,2010-09-01,2010-10-12,2025-09-15
Valencia,EL SALER,POBLATS DEL SUD,39.36335,-0.31932,Entire home/apt,Entire rental unit,7,1.5,1.0,14.0,390.0,55.71,False,10,170,20,1,0.0,4.0,0.01,False,False,5,2011-06-06,2013-07-02,2013-07-02
Valencia,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.46746,-0.32813,Entire home/apt,Entire home,10,4.0,5.0,7.0,245.0,24.5,True,2,9,287,313,4.67,4.63,1.81,False,False,1,2009-01-03,2011-07-23,2025-09-15
Valencia,LA ROQUETA,EXTRAMURS,39.4679,-0.38206,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,124.0,31.0,False,5,10,106,576,4.87,4.84,3.34,True,True,8,2011-07-07,2011-07-23,2025-09-03
Valencia,AIORA,CAMINS AL GRAU,39.46343,-0.34325,Entire home/apt,Entire rental unit,5,1.0,2.0,5.0,137.0,27.4,False,3,9,176,9,4.56,4.33,0.07,False,False,1,2011-10-20,2015-08-04,2025-03-17
Valencia,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.47299020968316,-0.3289203845922382,Private room,Private room in rental unit,2,1.0,1.0,2.0,56.0,28.0,False,1,1125,161,392,4.87,4.78,2.31,True,False,2,2011-08-07,2011-10-24,2025-09-07
Valencia,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.47149687619153,-0.3311840597846388,Private room,Private room in rental unit,1,1.0,1.0,3.0,48.0,48.0,False,1,1125,160,278,4.85,4.77,1.65,True,False,2,2011-08-07,2011-12-07,2025-09-02
Valencia,LA XEREA,CIUTAT VELLA,39.47396,-0.37405,Entire home/apt,Entire condo,2,1.0,1.0,2.0,80.0,40.0,False,31,1125,88,4,4.5,4.75,0.02,False,False,1,2011-10-23,2012-06-10,2021-08-27
Valencia,EXPOSICIO,EL PLA DEL REAL,39.47507,-0.36296,Private room,Private room in rental unit,2,1.0,1.0,1.0,53.0,26.5,False,1,60,45,172,4.74,4.85,1.14,True,False,3,2010-06-08,2013-04-29,2025-09-09
Valencia,EXPOSICIO,EL PLA DEL REAL,39.47505,-0.36282,Private room,Private room in rental unit,2,1.0,1.0,1.0,46.0,23.0,False,1,60,61,485,4.7,4.87,3.0,True,False,3,2010-06-08,2012-06-13,2025-08-27
Valencia,LA MALVA-ROSA,POBLATS MARITIMS,39.48183,-0.32578,Entire home/apt,Entire townhouse,10,2.0,4.0,14.0,397.0,39.7,True,3,365,330,154,4.59,4.84,0.95,False,False,5,2011-11-09,2012-06-08,2025-09-13
Valencia,EL BOTANIC,EXTRAMURS,39.47328,-0.38588,Entire home/apt,Entire loft,3,1.0,1.0,2.0,75.0,25.0,False,14,1125,57,210,4.82,4.82,1.36,True,False,1,2011-12-14,2013-01-20,2025-08-29
Valencia,RUSSAFA,L'EIXAMPLE,39.46359,-0.37359,Entire home/apt,Entire rental unit,3,1.0,2.0,2.0,54.0,18.0,True,14,1125,247,79,4.73,4.94,0.55,False,False,1,2012-01-15,2013-11-12,2025-08-17
Valencia,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.466515,-0.325345,Entire home/apt,Entire villa,5,2.0,2.0,3.0,239.0,47.8,False,3,1125,5,50,4.43,4.72,0.32,True,False,2,2011-10-25,2012-11-01,2025-09-07
Valencia,EL CARME,CIUTAT VELLA,39.47917,-0.377,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,131.0,32.75,True,2,1125,263,695,4.85,4.9,4.22,True,True,1,2012-02-15,2012-03-20,2025-09-19
Valencia,ARRANCAPINS,EXTRAMURS,39.46051,-0.38512,Entire home/apt,Entire serviced apartment,4,1.0,3.0,5.0,150.0,37.5,True,2,90,294,264,4.69,4.59,1.61,False,True,3,2011-09-12,2012-04-12,2025-08-18
Valencia,CIUTAT DE LES ARTS I DE LES CIENCIES,QUATRE CARRERES,39.4546,-0.36013,Private room,Private room in rental unit,2,1.0,1.0,2.0,59.0,29.5,False,3,3,73,27,4.74,4.59,0.18,False,False,1,2012-03-02,2013-09-09,2025-09-14
Valencia,EL PILAR,CIUTAT VELLA,39.47252,-0.38299,Entire home/apt,Entire condo,4,1.0,2.0,2.0,138.0,34.5,False,2,1125,143,292,4.63,4.76,1.81,True,True,1,2012-04-01,2012-06-26,2025-09-22
Valencia,EL MERCAT,CIUTAT VELLA,39.47381,-0.37669,Private room,Private room in rental unit,1,1.0,1.0,1.0,52.0,52.0,True,2,10,229,387,4.83,4.92,2.38,True,False,2,2012-04-08,2012-05-17,2025-09-09
Valencia,EL MERCAT,CIUTAT VELLA,39.47258,-0.37805,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,127.0,31.75,True,1,365,276,281,4.63,4.91,1.74,False,True,79,2018-08-27,2012-06-10,2025-07-11
Valencia,BENICALAP,BENICALAP,39.49225,-0.40044,Entire home/apt,Entire condo,3,1.0,1.0,3.0,94.0,31.33,True,3,1125,215,98,4.54,4.72,0.62,False,False,1,2012-05-08,2012-08-28,2025-09-11
Valencia,LA CARRASCA,ALGIROS,39.47574,-0.34483,Private room,Private room in rental unit,1,1.0,1.0,1.0,34.0,34.0,True,2,210,303,60,4.85,4.72,0.49,False,False,2,2012-05-11,2015-08-25,2025-09-21
Valencia,PENYA-ROJA,CAMINS AL GRAU,39.46066,-0.35361,Entire home/apt,Entire rental unit,4,1.0,2.0,3.0,163.0,40.75,False,2,1125,130,43,4.84,4.88,0.42,True,True,2,2012-05-13,2017-04-17,2025-08-18
Valencia,SANT PAU,CAMPANAR,39.49038,-0.40433,Entire home/apt,Entire condo,4,1.0,1.0,3.0,193.0,48.25,True,3,1125,320,251,4.95,4.75,1.55,True,False,1,2012-05-14,2012-06-01,2025-08-20
Valencia,CAMI FONDO,CAMINS AL GRAU,39.46548,-0.35487,Private room,Private room in rental unit,2,1.5,3.0,3.0,139.0,69.5,True,3,365,360,1,4.0,5.0,0.04,False,False,2,2012-05-19,2023-06-04,2023-06-04
Valencia,EXPOSICIO,EL PLA DEL REAL,39.47639,-0.36467,Private room,Private room in rental unit,1,1.0,1.0,1.0,37.0,37.0,False,2,60,51,430,4.76,4.91,2.69,True,False,3,2010-06-08,2012-08-06,2025-09-07
Valencia,TRINITAT,LA SAIDIA,39.48482805490139,-0.3685763429131575,Private room,Private room in rental unit,1,1.5,1.0,1.0,44.0,44.0,False,10,30,50,203,4.92,4.91,1.47,True,False,2,2012-06-25,2014-06-03,2025-09-13
